N,P,K,temperature,humidity,ph,rainfall,label
100.68,57.38,70.98,18.28,81.61,6.37,69.78,cabbage
44.91,55.66,45.92,21.02,64.18,5.74,95.82,beans
94.95,57.81,32.97,18.73,62.21,6.2,100.97,maize
101.77,49.27,65.32,19.52,73.29,6.6,54.5,cabbage
41.48,26.79,60.72,26.7,82.63,7.08,56.5,cotton
82.33,41.68,34.77,26.19,61.58,5.98,81.53,maize
46.8,55.35,59.88,22.23,66.2,6.54,70.4,tomato
58.29,35.45,52.37,28.25,50.52,6.79,42.18,cotton
51.68,24.06,41.01,19.16,45.9,6.11,41.59,cotton
79.37,50.12,73.9,16.38,78.57,6.42,54.47,cabbage
98.15,60.97,33.17,26.97,44.06,5.4,94.71,maize
85.42,35.2,35.56,26.44,70.57,6.38,77.61,maize
102.39,49.08,43.95,26.54,77.2,5.73,223.19,rice
80.23,55.87,36.13,23.01,63.68,6.43,72.01,maize
82.87,58.08,94.43,21.59,70.91,6.01,80.99,potato
103.55,47.85,48.02,20.84,61.11,6.13,60.9,maize
102.94,55.28,93.38,15.69,77.23,6.79,51.58,cabbage
97.03,41.11,28.26,20.96,48.16,6.17,77.45,maize
81.83,48.57,101.37,19.2,78.45,5.5,76.69,potato
79.54,69.12,92.98,17.02,66.73,5.61,57.94,potato
59.5,29.19,56.2,20.35,58.65,7.39,51.25,cotton
95.47,52.9,33.55,26.25,84.11,6.42,202.02,rice
85.27,55.28,61.91,21.88,52.9,6.0,62.61,cabbage
82.45,72.3,99.1,19.62,69.25,5.72,41.43,potato
84.09,33.18,39.72,26.77,73.64,6.97,197.86,rice
106.72,42.64,46.61,27.13,89.84,5.65,196.32,rice
44.52,55.35,42.17,19.64,63.18,5.58,88.55,beans
94.73,57.22,80.57,18.74,79.43,5.96,89.24,potato
64.17,28.92,48.68,31.15,58.18,7.05,47.0,cotton
97.17,72.86,73.94,22.75,75.09,6.07,65.81,cabbage
92.62,36.88,41.83,23.11,57.87,6.57,129.95,maize
101.66,28.76,53.5,26.32,80.13,5.77,181.47,rice
84.6,58.08,93.5,14.53,68.94,6.24,68.64,potato
45.23,28.95,44.65,27.54,49.52,6.89,63.66,cotton
113.55,49.92,77.72,18.11,77.22,6.98,45.73,cabbage
43.4,27.15,52.5,24.53,57.89,6.89,57.27,cotton
76.86,45.05,51.38,23.99,87.47,6.94,69.42,tomato
32.28,52.67,58.65,15.24,66.03,6.36,63.79,beans
77.81,24.59,45.06,28.77,54.07,6.77,63.53,cotton
92.61,49.25,78.71,17.63,64.78,6.84,71.95,cabbage
81.83,46.9,51.26,24.46,70.48,6.04,96.69,maize
39.01,67.77,60.98,24.73,63.87,5.55,73.33,beans
60.1,19.24,49.86,26.09,58.82,7.64,48.03,cotton
70.09,65.53,91.67,16.53,83.14,5.76,70.0,potato
78.37,55.89,71.93,18.04,71.05,6.15,58.63,cabbage
108.79,53.81,72.11,15.56,62.36,6.47,60.19,cabbage
38.26,67.68,47.86,21.19,63.37,6.02,75.31,beans
98.25,48.91,40.15,27.02,85.06,6.39,217.96,rice
74.2,50.55,64.25,14.21,60.54,6.37,36.25,tomato
84.86,45.58,23.6,23.29,47.19,6.45,108.0,maize
94.9,79.14,116.7,24.48,77.3,6.1,73.87,potato
82.05,57.07,112.79,11.31,64.11,5.77,68.83,potato
39.6,75.3,43.85,26.03,66.54,5.59,81.66,beans
42.0,62.92,45.32,18.11,65.43,6.37,92.13,beans
78.36,57.73,62.79,23.87,60.78,6.34,30.22,tomato
82.41,55.01,85.43,19.65,59.13,6.74,37.0,cabbage
61.31,69.38,56.74,22.49,65.42,5.99,51.58,tomato
36.84,57.46,44.89,17.55,69.29,6.2,59.89,beans
59.06,44.6,44.85,30.38,55.07,6.7,50.75,cotton
56.52,40.62,54.76,28.07,53.94,6.56,41.15,cotton
62.31,29.79,53.76,29.45,52.06,6.7,52.31,cotton
75.6,26.68,44.8,25.68,38.2,7.26,48.28,cotton
87.56,53.15,41.42,27.2,74.06,5.72,214.92,rice
90.89,44.96,43.41,28.22,92.06,6.14,190.83,rice
46.17,26.55,51.56,28.68,48.53,6.62,84.17,cotton
46.44,57.41,44.82,19.54,52.22,5.69,84.16,beans
70.58,55.31,113.92,16.68,77.19,5.57,65.67,potato
34.71,51.31,33.34,20.49,50.92,6.13,75.34,beans
86.7,40.1,22.82,19.28,68.71,7.17,79.59,maize
86.06,29.18,71.08,19.31,69.0,6.7,62.54,cabbage
36.42,62.82,56.51,16.51,74.4,5.95,72.63,beans
63.75,35.14,60.48,29.67,53.83,7.26,44.26,cotton
105.91,34.61,41.09,28.09,71.35,7.05,198.22,rice
78.58,30.94,29.75,25.31,78.11,5.48,234.67,rice
94.6,43.55,48.44,15.78,83.68,6.95,71.95,cabbage
87.78,48.48,42.7,23.24,60.86,6.34,88.59,maize
69.86,48.24,51.67,24.39,63.42,6.04,84.51,tomato
80.46,44.82,107.77,19.94,71.79,5.66,57.17,potato
72.32,54.38,57.16,27.18,55.63,6.37,60.08,cotton
54.37,53.94,53.24,18.79,75.55,7.14,81.62,tomato
89.09,57.97,64.76,17.71,75.11,6.45,70.18,cabbage
42.91,69.97,59.28,21.65,65.07,6.03,88.71,beans
107.77,40.86,40.52,30.96,91.37,6.13,211.76,rice
113.12,37.49,23.82,29.64,90.08,6.22,166.4,rice
42.61,56.48,54.59,28.74,61.37,5.87,60.86,beans
96.04,35.54,28.18,24.37,88.2,5.96,271.13,rice
77.85,65.0,56.38,23.63,74.5,6.54,83.3,tomato
96.56,50.82,73.19,24.56,92.88,5.79,53.42,cabbage
108.17,44.68,40.92,26.64,79.43,5.51,177.34,rice
78.66,36.8,41.0,28.54,85.41,5.46,206.18,rice
42.98,66.9,41.84,19.69,64.86,6.77,79.87,beans
78.17,68.83,50.18,17.83,57.36,6.13,69.33,tomato
71.84,56.8,107.67,15.3,55.86,6.09,55.0,potato
105.36,18.0,35.03,26.16,87.63,6.02,219.23,rice
79.52,69.38,67.24,19.99,65.88,5.8,52.24,tomato
69.83,40.02,43.55,23.35,53.2,6.48,46.6,cotton
100.55,41.97,53.79,25.44,60.09,6.33,97.7,maize
39.13,68.97,49.94,17.72,63.69,5.82,89.77,beans
68.1,57.26,55.98,22.32,71.13,5.98,58.57,tomato
41.36,69.81,45.88,18.82,60.95,5.84,93.45,beans
76.43,31.74,38.45,26.79,45.46,6.9,78.21,cotton
74.31,35.1,51.37,25.94,65.22,6.64,68.13,cotton
82.1,41.32,41.04,28.27,92.81,6.05,210.51,rice
68.54,32.47,47.46,28.65,58.2,7.11,61.72,cotton
78.68,65.33,66.22,18.26,85.95,6.58,69.19,cabbage
98.29,37.78,46.22,17.81,55.16,6.02,64.35,maize
91.9,48.08,36.99,25.77,51.44,6.25,94.83,maize
35.79,46.92,43.49,20.24,46.4,5.88,81.83,beans
65.75,44.58,59.53,24.22,68.5,6.4,78.49,tomato
107.2,64.71,44.67,28.75,78.35,5.93,194.31,rice
81.43,32.47,52.05,27.51,61.58,5.78,46.15,cotton
80.74,37.3,32.66,30.85,81.33,5.89,193.04,rice
101.56,39.64,46.11,29.81,82.24,5.69,177.71,rice
42.16,71.21,29.02,15.73,60.74,5.61,58.5,beans
74.58,73.26,98.64,15.07,67.34,6.72,52.32,potato
101.14,46.05,70.44,20.94,67.88,6.71,49.43,cabbage
67.54,54.36,49.92,23.39,63.37,5.7,53.16,tomato
76.94,55.27,62.86,15.0,83.84,6.47,58.14,cabbage
52.3,56.98,42.4,19.22,55.24,6.42,44.85,beans
94.83,45.18,66.36,15.29,76.36,6.68,70.86,cabbage
27.5,70.09,47.64,17.81,74.83,6.68,98.43,beans
90.15,46.28,42.81,24.81,57.35,6.66,117.25,maize
54.73,22.82,47.56,27.23,55.59,6.61,56.33,cotton
92.66,59.84,109.0,19.36,66.79,5.46,52.64,potato
94.36,45.75,63.71,19.81,60.23,6.86,69.23,cabbage
60.89,62.97,72.45,26.31,56.42,6.4,63.82,tomato
48.75,38.16,59.33,26.34,71.97,6.42,66.04,cotton
62.18,56.99,40.41,18.91,76.78,6.61,58.11,tomato
77.28,57.72,73.33,13.25,97.14,7.13,60.13,cabbage
84.08,52.11,115.48,15.91,58.75,6.45,48.37,potato
87.09,39.12,60.85,16.15,79.41,6.72,58.44,cabbage
53.84,47.63,91.79,19.55,47.56,6.74,59.31,tomato
104.67,40.25,40.72,28.41,47.18,6.09,91.02,maize
107.24,51.85,58.46,17.1,76.11,6.49,48.34,cabbage
103.26,31.26,43.36,27.09,80.88,5.75,216.7,rice
76.29,67.44,65.66,16.23,71.13,5.75,71.53,potato
85.77,40.76,39.61,24.53,53.65,6.06,104.79,maize
35.2,50.98,63.4,14.66,50.88,5.62,91.96,beans
98.53,44.57,57.03,24.1,52.89,6.52,77.27,maize
79.69,43.36,32.84,22.59,78.62,6.02,83.86,maize
84.49,34.82,42.05,25.7,84.31,6.48,195.54,rice
112.3,41.11,61.95,16.59,90.09,6.38,52.74,cabbage
110.9,55.28,72.49,18.45,72.69,6.59,58.53,cabbage
96.39,46.86,33.25,24.89,63.52,6.63,86.81,maize
92.79,43.22,31.32,25.32,56.85,6.38,68.56,maize
92.52,48.59,37.77,23.21,84.46,5.84,238.61,rice
100.6,44.13,44.81,29.16,70.61,5.37,187.58,rice
59.12,41.04,52.89,28.68,39.09,6.17,59.69,cotton
52.51,23.69,47.95,26.53,44.38,6.63,71.83,cotton
87.7,43.88,40.45,32.63,84.14,6.03,232.07,rice
100.21,58.29,97.97,19.34,70.16,6.73,51.42,potato
76.4,39.2,42.73,24.91,63.8,5.84,94.71,maize
50.55,31.08,54.14,28.2,57.28,6.42,32.57,cotton
127.06,33.25,38.03,27.76,84.68,5.34,182.52,rice
101.59,58.23,106.92,18.9,76.04,5.75,54.95,potato
31.74,61.9,41.6,17.97,66.89,5.26,43.86,beans
46.59,71.79,30.86,19.56,59.45,6.04,75.92,beans
99.6,54.52,70.63,16.63,95.58,6.02,35.62,cabbage
82.7,47.81,31.62,29.62,81.57,6.13,218.94,rice
115.52,49.44,71.99,19.81,71.59,6.34,67.01,cabbage
89.18,47.28,31.15,27.32,79.74,5.58,227.26,rice
90.38,46.18,77.73,16.7,72.55,6.49,56.64,cabbage
86.21,37.02,30.2,20.66,53.42,5.86,69.83,maize
59.15,52.35,94.45,13.91,52.12,5.18,53.24,potato
76.25,65.87,45.58,24.36,72.79,6.32,89.36,tomato
84.37,57.63,41.24,24.7,68.54,5.98,81.77,maize
102.53,37.5,31.84,25.92,87.18,6.49,211.38,rice
108.25,44.43,34.65,28.1,80.98,6.29,215.8,rice
46.76,60.75,43.7,18.1,52.46,5.69,81.58,beans
69.59,45.82,52.03,33.83,64.64,6.29,60.29,cotton
57.79,16.28,47.14,26.52,59.27,6.99,53.78,cotton
94.35,62.33,129.5,12.01,61.84,5.69,95.2,potato
77.94,53.95,37.96,27.2,77.54,5.38,181.61,rice
47.01,63.12,52.16,23.79,53.94,5.03,68.91,beans
83.99,32.99,44.31,26.43,72.76,6.14,196.45,rice
102.61,49.74,61.91,15.77,81.68,6.33,77.23,cabbage
43.3,61.45,31.54,19.06,55.01,6.28,60.84,beans
81.39,51.59,69.66,26.44,77.66,6.45,48.2,cabbage
66.49,52.45,64.79,22.09,60.31,6.28,96.09,tomato
112.86,54.36,73.87,14.77,68.72,6.69,66.85,cabbage
63.21,64.71,85.96,12.38,66.12,6.3,83.57,potato
107.25,36.47,27.61,29.28,84.94,5.64,181.83,rice
57.89,24.44,67.91,23.45,73.85,7.54,46.05,cotton
44.35,58.54,69.69,25.6,73.36,6.1,74.46,tomato
65.65,55.1,53.06,20.86,58.9,6.35,56.49,tomato
78.97,62.03,53.83,24.22,58.95,6.73,61.53,maize
54.69,65.56,36.17,15.14,52.08,5.94,67.55,beans
79.92,35.49,50.7,27.9,61.83,6.37,114.96,maize
